position,desc,type,multiply,min,warn,crit,name
2,Ups temp,C,0.1,15,40,45,temp_ups
3,ECO mode,bool,1,0,1,1,eco_mode
4,Converter mode,bool,1,0,1,1,converter_mode
5,Bypass not allowed,bool,1,0,1,1,bypass_not_allowed
6,Bypass wen UPS is of,bool,1,0,0,0,bypass_when_off
7,UPS warning,bool,1,0,1,1,ups_warn
10,P battery voltage,V,0.1,210,230,240,in_p_battery_voltage 
11,Battery capacity,%,1,5,75,25,cpu_battery_capacity
12,Remaining backup time,min,1,3,10,5,in,remaining_backup_time
13,Input frequency,Hz,0.1,40,45,40,in_input_frequency
14,Input voltage L1-N,V,0.1,210,230,240,in_input_voltage_l1_n
16,Output frequency,Hz,0.1,40,45,40,in_output_frequency
17,Output voltage L1-N,V,0.1,210,230,240,in_output_voltage_l1_n
19,Load level L1,%,1,0,50,75,cpu_load_level_l1_n
20,Bypass frequency,Hz,0.1,40,45,40,in_bypass_frequency
21,Bypass voltage L1-N,V,0.1,210,230,240,in_bypass_voltage_l1_n
23,Input voltage L2-N,V,0.1,210,230,240,in_input_voltage_l2_n
25,Output voltage L2-N,V,0.1,210,230,240,in_output_voltage_l2_n
27,Load level L2,%,1,0,50,75,cpu_load_level_l2_n
28,Bypass voltage L2-N,V,0.1,210,230,240,in_bypass_voltage_l2_n
30,Inpute voltage L3-N,V,0.1,210,230,240,in_input_voltage_l3_n
32,Output voltage L3-N,V,0.1,210,230,240,in_output_voltage_l3_n
34,Load level L3,%,1,0,50,75,cpu_load_level_l3_n
35,Bypass voltage L3-N,V,0.1,210,230,240,in_bypass_voltage_l3_n
37,Output current L1-N,A,0.1,0,10,0,in_output_current_l1_n
38,Output current L2-N,A,0.1,0,10,0,in_output_current_l2_n
39,Output current L3-N,A,0.1,0,10,0,in_output_current_l1_n
44,N battery voltage,V,0.1,210,230,240,in_n_battery_voltage
